model_name,phase,epoch,metric_name,metric_value
finetune_twotower_electrasmall_wac_query_distributions,val,0,mcc,0.04202421382069588
finetune_twotower_electrasmall_wac_query_distributions,val,0,loss,0.6939102411270142
finetune_twotower_electrasmall_wac_query_distributions,train,0,mcc,0.005107582546770573
finetune_twotower_electrasmall_wac_query_distributions,train,0,loss,0.7022760510444641
finetune_twotower_electrasmall_wac_query_distributions,val,1,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,1,loss,0.6670376062393188
finetune_twotower_electrasmall_wac_query_distributions,train,1,mcc,0.0037500045727938414
finetune_twotower_electrasmall_wac_query_distributions,train,1,loss,0.6831884980201721
finetune_twotower_electrasmall_wac_query_distributions,val,2,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,2,loss,0.6392946839332581
finetune_twotower_electrasmall_wac_query_distributions,train,2,mcc,0.005347960628569126
finetune_twotower_electrasmall_wac_query_distributions,train,2,loss,0.6563715934753418
finetune_twotower_electrasmall_wac_query_distributions,val,3,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,3,loss,0.6187806129455566
finetune_twotower_electrasmall_wac_query_distributions,train,3,mcc,0.009685983881354332
finetune_twotower_electrasmall_wac_query_distributions,train,3,loss,0.6322635412216187
finetune_twotower_electrasmall_wac_query_distributions,val,4,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,4,loss,0.6080886125564575
finetune_twotower_electrasmall_wac_query_distributions,train,4,mcc,0.009685983881354332
finetune_twotower_electrasmall_wac_query_distributions,train,4,loss,0.6158286333084106
finetune_twotower_electrasmall_wac_query_distributions,val,5,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,5,loss,0.6060150861740112
finetune_twotower_electrasmall_wac_query_distributions,train,5,mcc,0.009685983881354332
finetune_twotower_electrasmall_wac_query_distributions,train,5,loss,0.6085780262947083
finetune_twotower_electrasmall_wac_query_distributions,val,6,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,6,loss,0.6061892509460449
finetune_twotower_electrasmall_wac_query_distributions,train,6,mcc,0.009685983881354332
finetune_twotower_electrasmall_wac_query_distributions,train,6,loss,0.6072044968605042
finetune_twotower_electrasmall_wac_query_distributions,val,7,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,7,loss,0.6061719655990601
finetune_twotower_electrasmall_wac_query_distributions,train,7,mcc,0.009685983881354332
finetune_twotower_electrasmall_wac_query_distributions,train,7,loss,0.6072292923927307
finetune_twotower_electrasmall_wac_query_distributions,val,8,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,8,loss,0.6060336232185364
finetune_twotower_electrasmall_wac_query_distributions,train,8,mcc,0.009685983881354332
finetune_twotower_electrasmall_wac_query_distributions,train,8,loss,0.6076432466506958
finetune_twotower_electrasmall_wac_query_distributions,val,9,mcc,0.02564101107418537
finetune_twotower_electrasmall_wac_query_distributions,val,9,loss,0.6058748960494995
finetune_twotower_electrasmall_wac_query_distributions,train,9,mcc,0.009685983881354332
finetune_twotower_electrasmall_wac_query_distributions,train,9,loss,0.6068682670593262
finetune_twotower_electrasmall_wac_query_distributions,val,0,accuracy,0.5342291593551636
finetune_twotower_electrasmall_wac_query_distributions,val,0,loss,0.5592718124389648
finetune_twotower_electrasmall_wac_query_distributions,train,0,accuracy,0.44377416372299194
finetune_twotower_electrasmall_wac_query_distributions,train,0,loss,0.607966959476471
finetune_twotower_electrasmall_wac_query_distributions,val,1,accuracy,0.6048760414123535
finetune_twotower_electrasmall_wac_query_distributions,val,1,loss,0.5094912052154541
finetune_twotower_electrasmall_wac_query_distributions,train,1,accuracy,0.5557114481925964
finetune_twotower_electrasmall_wac_query_distributions,train,1,loss,0.5435470938682556
finetune_twotower_electrasmall_wac_query_distributions,val,2,accuracy,0.6570468544960022
finetune_twotower_electrasmall_wac_query_distributions,val,2,loss,0.4641106426715851
finetune_twotower_electrasmall_wac_query_distributions,train,2,accuracy,0.6187669038772583
finetune_twotower_electrasmall_wac_query_distributions,train,2,loss,0.49800440669059753
finetune_twotower_electrasmall_wac_query_distributions,val,3,accuracy,0.671349287033081
finetune_twotower_electrasmall_wac_query_distributions,val,3,loss,0.4445047378540039
finetune_twotower_electrasmall_wac_query_distributions,train,3,accuracy,0.6556549072265625
finetune_twotower_electrasmall_wac_query_distributions,train,3,loss,0.46352699398994446
finetune_twotower_electrasmall_wac_query_distributions,val,4,accuracy,0.6852445602416992
finetune_twotower_electrasmall_wac_query_distributions,val,4,loss,0.43070265650749207
finetune_twotower_electrasmall_wac_query_distributions,train,4,accuracy,0.680541455745697
finetune_twotower_electrasmall_wac_query_distributions,train,4,loss,0.4393462836742401
finetune_twotower_electrasmall_wac_query_distributions,val,5,accuracy,0.6948643326759338
finetune_twotower_electrasmall_wac_query_distributions,val,5,loss,0.4262966215610504
finetune_twotower_electrasmall_wac_query_distributions,train,5,accuracy,0.6978726983070374
finetune_twotower_electrasmall_wac_query_distributions,train,5,loss,0.4206453859806061
finetune_twotower_electrasmall_wac_query_distributions,val,6,accuracy,0.699801504611969
finetune_twotower_electrasmall_wac_query_distributions,val,6,loss,0.4191221296787262
finetune_twotower_electrasmall_wac_query_distributions,train,6,accuracy,0.7127516269683838
finetune_twotower_electrasmall_wac_query_distributions,train,6,loss,0.4047844111919403
finetune_twotower_electrasmall_wac_query_distributions,val,7,accuracy,0.7022955417633057
finetune_twotower_electrasmall_wac_query_distributions,val,7,loss,0.42285051941871643
finetune_twotower_electrasmall_wac_query_distributions,train,7,accuracy,0.7257055044174194
finetune_twotower_electrasmall_wac_query_distributions,train,7,loss,0.390845388174057
finetune_twotower_electrasmall_wac_query_distributions,val,8,accuracy,0.7038224935531616
finetune_twotower_electrasmall_wac_query_distributions,val,8,loss,0.42816275358200073
finetune_twotower_electrasmall_wac_query_distributions,train,8,accuracy,0.7378775477409363
finetune_twotower_electrasmall_wac_query_distributions,train,8,loss,0.37755921483039856
finetune_twotower_electrasmall_wac_query_distributions,val,9,accuracy,0.7088105082511902
finetune_twotower_electrasmall_wac_query_distributions,val,9,loss,0.42901745438575745
finetune_twotower_electrasmall_wac_query_distributions,train,9,accuracy,0.7482518553733826
finetune_twotower_electrasmall_wac_query_distributions,train,9,loss,0.3652864098548889
finetune_twotower_electrasmall_wac_query_distributions,val,0,accuracy,0.6274510025978088
finetune_twotower_electrasmall_wac_query_distributions,val,0,loss,0.6892284750938416
finetune_twotower_electrasmall_wac_query_distributions,val,0,f1,0.0
finetune_twotower_electrasmall_wac_query_distributions,train,0,accuracy,0.5199018716812134
finetune_twotower_electrasmall_wac_query_distributions,train,0,loss,0.6941884756088257
finetune_twotower_electrasmall_wac_query_distributions,train,0,f1,0.0
finetune_twotower_electrasmall_wac_query_distributions,val,1,accuracy,0.6911764740943909
finetune_twotower_electrasmall_wac_query_distributions,val,1,loss,0.6834072470664978
finetune_twotower_electrasmall_wac_query_distributions,val,1,f1,0.0
